,id,cat_id,cat_name,year,placement
13650,269210,75353,Palme d'Argent for Best Family Game,2020,2nd place
13661,34871,14614,Lucca Games Best Boardgame for Experts,2011,Winner
13776,20609,12669,International Gamers Awards - Historical Simulation,2008,Winner
13852,26859,12491,Lucca Game Best Family Game,2007,Winner
13918,13308,19195,Japan Boardgame Prize Best Foreign Game for Beginners,2005,Winner
13962,226,12959,International Gamers Awards - General Strategy; Two-players,2000,Winner
13966,232,12634,Fall Lucca Games Best Original Game,1996,Winner
14000,295,12620,Fall Lucca Games Best Original Game,1998,Winner
14031,352,13391,Games Magazine - Game of the year,1991,Winner
14039,372,12959,International Gamers Awards - General Strategy; Two-players,2000,Winner
14111,4396,12962,International Gamers Award - General Strategy: Two-players,2003,Winner
